Nr próbki,Temperatura (°C)
1,34.32
2,34.3
3,34.29
4,34.27
5,34.26
6,34.23
7,34.22
8,34.19
9,34.18
10,34.17
11,34.15
12,34.13
13,34.12
14,34.1
15,34.08
16,34.07
17,34.05
18,34.04
19,34.02
20,34.0
21,33.98
22,33.97
23,33.95
24,33.94
25,33.92
26,33.9
27,33.88
28,33.86
29,33.85
30,33.83
31,33.81
32,33.79
33,33.77
34,33.76
35,33.74
36,33.72
37,33.7
38,33.69
39,33.67
40,33.65
41,33.62
42,33.61
43,33.6
44,33.58
45,33.56
46,33.54
47,33.52
48,33.5
49,33.48
50,33.47
51,33.46
52,33.43
53,33.41
54,33.4
55,33.39
56,33.37
57,33.36
58,33.34
59,33.32
60,33.31
61,33.28
62,33.26
63,33.25
64,33.23
65,33.22
66,33.21
67,33.19
68,33.17
69,33.15
70,33.13
71,33.12
72,33.1
73,33.08
74,33.06
75,33.05
76,33.03
77,33.01
78,32.99
79,32.97
80,32.94
81,32.92
82,32.9
83,32.88
84,32.87
85,32.85
86,32.83
87,32.82
88,32.8
89,32.78
90,32.76
91,32.75
92,32.73
93,32.72
94,32.7
95,32.68
96,32.66
97,32.65
98,32.63
99,32.61
100,32.59
101,32.58
102,32.56
103,32.55
104,32.53
105,32.51
106,32.5
107,32.49
108,32.47
109,32.45
110,32.44
111,32.42
112,32.4
113,32.38
114,32.36
115,32.35
116,32.33
117,32.31
118,32.29
119,32.28
120,32.26
121,32.25
122,32.23
123,32.21
124,32.2
125,32.19
126,32.16
127,32.16
128,32.14
129,32.12
130,32.11
131,32.09
132,32.07
133,32.05
134,32.04
135,32.02
136,32.01
137,31.99
138,31.98
139,31.96
140,31.95
141,31.94
142,31.92
143,31.91
144,31.89
145,31.88
146,31.86
147,31.85
148,31.83
149,31.82
150,31.8
151,31.79
152,31.77
153,31.76
154,31.74
155,31.73
156,31.72
157,31.7
158,31.69
159,31.66
160,31.65
161,31.63
162,31.62
163,31.6
164,31.59
165,31.57
166,31.56
167,31.55
168,31.54
169,31.52
170,31.51
171,31.5
172,31.48
173,31.47
174,31.45
175,31.44
176,31.43
177,31.42
178,31.41
179,31.39
180,31.38
181,31.37
182,31.36
183,31.34
184,31.33
185,31.31
186,31.3
187,31.28
188,31.27
189,31.26
190,31.24
191,31.23
192,31.21
193,31.21
194,31.19
195,31.18
196,31.16
197,31.15
198,31.14
199,31.12
200,31.11
201,31.1
202,31.08
203,31.06
204,31.05
205,31.03
206,31.02
207,31.01
208,31.0
209,30.98
210,30.97
211,30.96
212,30.96
213,30.94
214,30.94
215,30.93
216,30.93
217,30.92
218,30.91
219,30.9
220,30.89
221,30.88
222,30.87
223,30.86
224,30.85
225,30.84
226,30.84
227,30.82
228,30.81
229,30.8
230,30.79
231,30.77
232,30.76
233,30.76
234,30.73
235,30.71
236,30.71
237,30.71
238,30.7
239,30.69
240,30.68
241,30.67
242,30.66
243,30.65
244,30.64
245,30.61
246,30.6
247,30.58
248,30.57
249,30.56
250,30.54
251,30.53
252,30.52
253,30.51
254,30.49
255,30.49
256,30.47
257,30.46
258,30.45
259,30.44
260,30.43
261,30.42
262,30.41
263,30.4
264,30.38
265,30.38
266,30.36
267,30.36
268,30.34
269,30.33
270,30.33
271,30.32
272,30.31
273,30.3
274,30.29
275,30.28
276,30.27
277,30.26
278,30.25
279,30.24
280,30.23
281,30.22
282,30.21
283,30.2
284,30.2
285,30.18
286,30.17
287,30.16
288,30.15
289,30.14
290,30.13
291,30.11
292,30.11
293,30.09
294,30.09
295,30.08
296,30.07
297,30.05
298,30.04
299,30.03
300,30.02
301,30.01
302,30.01
303,30.0
304,29.99
305,29.98
306,29.97
307,29.96
308,29.96
309,29.95
310,29.94
311,29.93
312,29.93
313,29.92
314,29.91
315,29.9
316,29.89
317,29.89
318,29.88
319,29.87
320,29.87
321,29.85
322,29.84
323,29.83
324,29.83
325,29.83
326,29.83
327,29.82
328,29.81
329,29.81
330,29.81
331,29.8
332,29.8
333,29.79
334,29.79
335,29.79
336,29.78
337,29.77
338,29.77
339,29.77
340,29.77
341,29.77
342,29.77
343,29.77
344,29.77
345,29.77
346,29.77
347,29.77
348,29.77
349,29.76
350,29.77
351,29.78
352,29.77
353,29.78
354,29.78
355,29.78
356,29.79
357,29.79
358,29.8
359,29.8
360,29.8
361,29.81
362,29.81
363,29.81
364,29.82
365,29.82
366,29.83
367,29.84
368,29.84
369,29.84
370,29.85
371,29.85
372,29.86
373,29.88
374,29.89
375,29.89
376,29.89
377,29.9
378,29.92
379,29.92
380,29.93
381,29.94
382,29.95
383,29.96
384,29.97
385,29.98
386,29.99
387,30.0
388,30.01
389,30.01
390,30.03
391,30.04
392,30.06
393,30.07
394,30.08
395,30.09
396,30.1
397,30.11
398,30.12
399,30.13
400,30.14
401,30.15
402,30.16
403,30.17
404,30.18
405,30.19
406,30.2
407,30.22
408,30.22
409,30.24
410,30.25
411,30.26
412,30.28
413,30.29
414,30.29
415,30.31
416,30.32
417,30.33
418,30.34
419,30.35
420,30.37
421,30.39
422,30.4
423,30.41
424,30.42
425,30.43
426,30.44
427,30.46
428,30.47
429,30.48
430,30.5
431,30.51
432,30.52
433,30.53
434,30.54
435,30.56
436,30.58
437,30.58
438,30.6
439,30.6
440,30.62
441,30.63
442,30.65
443,30.66
444,30.68
445,30.68
446,30.7
447,30.71
448,30.73
449,30.73
450,30.75
451,30.76
452,30.77
453,30.78
454,30.79
455,30.8
456,30.82
457,30.83
458,30.84
459,30.86
460,30.87
461,30.88
462,30.89
463,30.9
464,30.91
465,30.92
466,30.93
467,30.94
468,30.95
469,30.95
470,30.97
471,30.98
472,30.99
473,31.0
474,31.01
475,31.02
